ant_main(10),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.13333333333333333,0.044444444444444446,0.1111111111111111,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.17777777777777778,0.08888888888888889,0.044444444444444446,0.1111111111111111,0.08888888888888889,0.044444444444444446,0.13333333333333333,0.13333333333333333,0.17777777777777778
10%,0.0,0.08888888888888889,0.044444444444444446,0.08888888888888889,0.07777777777777778,0.05555555555555555,0.08888888888888889,0.06666666666666667,0.06666666666666667,0.08888888888888889,0.05555555555555555,0.07777777777777778,0.08888888888888889,0.06666666666666667,0.06666666666666667,0.08888888888888889,0.07777777777777778,0.08888888888888889
15%,0.0,0.05925925925925926,0.044444444444444446,0.05925925925925926,0.05185185185185185,0.044444444444444446,0.06666666666666667,0.05925925925925926,0.05925925925925926,0.05925925925925926,0.05925925925925926,0.05185185185185185,0.06666666666666667,0.05185185185185185,0.05185185185185185,0.05925925925925926,0.05185185185185185,0.05925925925925926
20%,0.0,0.044444444444444446,0.044444444444444446,0.05,0.03888888888888889,0.03888888888888889,0.05,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.05,0.044444444444444446,0.05,0.05,0.03888888888888889,0.044444444444444446,0.044444444444444446,0.044444444444444446
25%,0.0,0.035555555555555556,0.04,0.044444444444444446,0.035555555555555556,0.03111111111111111,0.04,0.04,0.04,0.035555555555555556,0.04,0.044444444444444446,0.04,0.044444444444444446,0.04,0.035555555555555556,0.035555555555555556,0.04
30%,0.0,0.02962962962962963,0.03333333333333333,0.037037037037037035,0.02962962962962963,0.02962962962962963,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02962962962962963,0.03333333333333333,0.037037037037037035,0.03333333333333333,0.037037037037037035,0.037037037037037035,0.02962962962962963,0.02962962962962963,0.03333333333333333
35%,0.0,0.025396825396825397,0.02857142857142857,0.031746031746031744,0.025396825396825397,0.025396825396825397,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.025396825396825397,0.02857142857142857,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.025396825396825397,0.025396825396825397,0.02857142857142857
40%,0.002777777777777778,0.022222222222222223,0.025,0.027777777777777776,0.022222222222222223,0.025,0.025,0.025,0.025,0.022222222222222223,0.025,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.025,0.022222222222222223,0.025
45%,0.007407407407407408,0.019753086419753086,0.022222222222222223,0.024691358024691357,0.019753086419753086,0.022222222222222223,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.022222222222222223,0.022222222222222223,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.022222222222222223,0.019753086419753086,0.022222222222222223
50%,0.011111111111111112,0.02,0.02,0.022222222222222223,0.017777777777777778,0.02,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02,0.02,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02,0.017777777777777778,0.022222222222222223
