jmeter_core(14),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.23076923076923078
10%,0.0,0.19230769230769232,0.19230769230769232,0.2692307692307692,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.23076923076923078
15%,0.05128205128205128,0.20512820512820512,0.15384615384615385,0.23076923076923078,0.2564102564102564,0.15384615384615385,0.28205128205128205,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.15384615384615385,0.23076923076923078,0.2564102564102564,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.1794871794871795
20%,0.038461538461538464,0.19230769230769232,0.11538461538461539,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.17307692307692307,0.17307692307692307,0.15384615384615385,0.11538461538461539,0.21153846153846154,0.23076923076923078,0.21153846153846154,0.21153846153846154,0.17307692307692307,0.19230769230769232,0.17307692307692307
25%,0.03076923076923077,0.15384615384615385,0.09230769230769231,0.18461538461538463,0.15384615384615385,0.09230769230769231,0.18461538461538463,0.15384615384615385,0.15384615384615385,0.16923076923076924,0.1076923076923077,0.16923076923076924,0.18461538461538463,0.18461538461538463,0.16923076923076924,0.15384615384615385,0.16923076923076924,0.16923076923076924
30%,0.038461538461538464,0.14102564102564102,0.08974358974358974,0.15384615384615385,0.14102564102564102,0.07692307692307693,0.16666666666666666,0.14102564102564102,0.14102564102564102,0.14102564102564102,0.08974358974358974,0.15384615384615385,0.16666666666666666,0.15384615384615385,0.15384615384615385,0.14102564102564102,0.15384615384615385,0.15384615384615385
35%,0.08791208791208792,0.13186813186813187,0.0989010989010989,0.13186813186813187,0.13186813186813187,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.12087912087912088,0.07692307692307693,0.13186813186813187,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.13186813186813187,0.13186813186813187,0.14285714285714285
40%,0.08653846153846154,0.11538461538461539,0.09615384615384616,0.125,0.11538461538461539,0.0673076923076923,0.125,0.125,0.125,0.125,0.08653846153846154,0.125,0.125,0.1346153846153846,0.1346153846153846,0.11538461538461539,0.11538461538461539,0.125
45%,0.07692307692307693,0.10256410256410256,0.08547008547008547,0.11965811965811966,0.10256410256410256,0.07692307692307693,0.1111111111111111,0.11965811965811966,0.11965811965811966,0.1111111111111111,0.07692307692307693,0.11965811965811966,0.1111111111111111,0.11965811965811966,0.11965811965811966,0.10256410256410256,0.10256410256410256,0.1111111111111111
50%,0.06923076923076923,0.09230769230769231,0.08461538461538462,0.1076923076923077,0.09230769230769231,0.06923076923076923,0.1,0.1076923076923077,0.1076923076923077,0.1,0.06923076923076923,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.09230769230769231,0.09230769230769231,0.1
