wro4j(12),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.8333333134651184,0.1666666716337204,0.75,0.8333333134651184,0.1666666716337204,0.75,0.5833333134651184,0.5833333134651184,0.75,0.1666666716337204,0.6666666865348816,0.8333333134651184,0.75,0.75,0.75,0.8333333134651184,0.9166666865348816
10%,0.0,0.8333333134651184,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.6666666865348816,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.8333333134651184,1.0,1.0
15%,0.0,0.8333333134651184,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.8333333134651184,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
20%,0.0,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.8333333134651184,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
25%,0.1666666716337204,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
30%,0.1666666716337204,0.9166666865348816,0.1666666716337204,0.9166666865348816,0.9166666865348816,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
35%,0.1666666716337204,1.0,0.25,0.9166666865348816,0.9166666865348816,0.3333333432674408,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
40%,0.25,1.0,0.25,0.9166666865348816,0.9166666865348816,0.3333333432674408,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
45%,0.5,1.0,0.25,0.9166666865348816,0.9166666865348816,0.3333333432674408,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,0.25,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
50%,0.8333333134651184,1.0,0.25,0.9166666865348816,0.9166666865348816,0.3333333432674408,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,0.3333333432674408,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0
